@relation train_feature_out-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.70785,0.70422,0.87756,1,0.63431,0.53042,0.62415,0.51839,0.45623,0.34248,0.36607,0.33206,0.31791,0.22416,0,0.12501,0.13328,0.23117,0.13195,0.0075861,0,0.3809,0.54847,0.57053,0.62862,0.65912,0.55836,0.53827,0.3967,1,0.32158,0.48122,0.66257,0.64852,0.56338,0.52093,0.39001,0.32715,0.28752,0.57767,1
0.6903,1,0.98357,0.97014,0.92368,0.73676,0.78218,0.7808,0.79448,0.70362,0.60935,0.61303,0.55435,0.55575,0.46512,0.41006,0.23407,0.13564,0.018727,0,0.29877,0.47741,0.82531,0.77036,0,0.26994,0.55803,0.16575,0.2173,0.85101,0.41631,0.95597,0.7223,0.93723,0.6109,1,0.84015,0.64958,0.29902,0.44669,1
0.30852,0.6815,1,0.98116,0.30439,0.69503,0.67346,0.41527,0.83499,0.7341,0.63892,0.67872,0.59733,0.60147,0.41515,0.37845,0.1684,0.092128,0.053325,0,0.74073,0.48613,0.72177,0.84464,0,0.15273,0.23898,0.2632,0.73668,0.85735,1,0.95163,0.77608,0.73354,0.59959,0.63983,0.69385,0.55225,0.70739,0.47123,1
0.13367,0.68489,0.8467,0.71201,0.44805,0.7212,0.62678,0.8475,1,0.60709,0.47546,0.21128,0.15705,0.052985,0.034569,0.19601,0.1285,0.10583,0,0.0029621,1,0.32323,0.45012,0.67384,0.70177,0.32227,0.12693,0.16133,0.18941,0.43683,0.54094,0.66954,0.55733,0.55082,0.47472,0.19606,0.094843,0,0.59843,0.70382,1
0.69154,1,0.82019,0.75455,0.94773,0.82433,0.69134,0.73674,0.65164,0.58278,0.58726,0.50465,0.3205,0.25007,0.18691,0.25783,0.24855,0.24051,0.1308,0,0.41905,0.2559,0.43503,0.83924,0.37584,0.1298,0.1835,0.3429,0.3847,0.55688,0.89535,0.85449,0.68138,0,0.62143,0.61722,1,0.7705,0.42922,0.53187,1
0.43624,0.82467,1,0.9732,0.71496,0.96929,0.86244,0.75365,0.749,0.56039,0.47074,0.42272,0.32743,0.31099,0.24238,0.31661,0.20006,0.2209,0.081385,0,0.90928,0.56215,0.60226,0.80198,0.51254,0.47847,0.559,0.12678,0,0.49558,0.75548,0.98744,0.80475,1,0.7731,0.62758,0.8668,0.32252,0.43024,0.54242,1
0.54943,0.84273,1,0.9971,0.65809,0.77737,0.8127,0.73553,0.84141,0.748,0.55181,0.52211,0.40993,0.31446,0.097558,0.21678,0.01059,0.046868,0.0060046,0,0.35832,0.16854,0,0.0078693,0.56308,0.43248,0.55113,0.81986,0.63262,1,0.56786,0.47239,0.51302,0.2835,0.46575,0.40527,0.36274,0.32688,0.60276,0.27637,1
1,0.91006,0.9254,0.98562,0.6384,0.5661,0.57039,0.48959,0.44974,0.34111,0.32809,0.37674,0.35519,0.30118,0.037696,0.148,0.11519,0.010969,0,0.016224,0.096853,0.38768,1,0.66661,0.51262,0.95523,0.9128,0.86997,0.43278,0.28858,0.95406,0.51382,0.11664,0.1921,0.2215,0.20058,0.21046,0,0.74837,0.092524,1
1,0.7492,0.61977,0.7212,0.50677,0.4611,0.44646,0.41944,0.40159,0.29639,0.2739,0.25231,0.40658,0.35442,0.069576,0.16698,0.16219,0.078379,0.048233,0,0.46823,0,0.14825,0.39399,0.46824,0.31453,0.85513,0.77838,0.68965,0.80737,0.9121,1,0.64433,0.55816,0.5928,0.3744,0.73971,0.59022,0.57039,0.68502,1
1,0.7212,0.65697,0.75831,0.49471,0.43682,0.39169,0.38244,0.3008,0.24699,0.19732,0.20724,0.48066,0.44449,0.10524,0.20099,0.04909,0.066777,0,0.02978,0.89105,0,0.49377,0.72765,0.4247,0.52848,0.65497,0.96299,0.999,0.33551,0.94745,0.81057,0.76284,0.84157,1,0.67827,0.93298,0.56216,0.8436,0.76161,1
