 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 86
 % acoustic_params.max_freq: 2000
 % acoustic_params.num_mel_filts: 20
 % acoustic_params.ITW: 1
@relation train_feature_2_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.7901,0.77034,0.71772,1,0.74037,0.41484,0.69387,0.91041,0.8731,0.49369,0.47963,0.37818,0.32254,0.39613,0.26292,0.40054,0.37031,0.21911,0.14097,0,0.2832,0.28594,0.48705,0.45121,0.66361,0.095558,0.56272,0.9693,1,0.38051,0.75721,0.50444,0.34127,0.60201,0.62214,0.62611,0.61992,0,0.1247,0.22413,1
0.42809,0.41639,0.70104,1,0.78221,0.42882,0.75897,0.97123,0.78786,0.28461,0.39081,0.29933,0.22595,0.21811,0.1081,0.14654,0.064747,0.036072,0,0.090783,0.32987,0.47517,0.55172,0.48822,0.062579,0.55237,0.78272,0.60303,0,0.77339,0.7393,0.99119,0.87136,0.83418,1,0.43454,0.83028,0.1706,0.2674,0.4775,1
0.54748,0.56462,0.8742,1,0.6974,0.61536,0.88271,0.88166,0.48277,0.48431,0.48914,0.41975,0.46048,0.3906,0.28912,0.19681,0.15888,0.043617,0,0.01715,0.67694,0.54567,0.69683,1,0.42643,0,0.55802,0.71221,0.027103,0.78815,0.60974,0.8085,0.89892,0.88017,0.84555,0.76736,0.84699,0.75803,0.67589,0.81282,1
0.51677,0.66482,0.98755,1,0.59429,0.92842,0.93039,0.82819,0.90559,0.73697,0.66866,0.47894,0.53129,0.47752,0.36629,0.3558,0.27928,0.20908,0.05441,0,0.52827,0.47852,0.30829,0.28035,1,0.21014,0.041837,0.28746,0.26534,0,0.29051,0.42573,0.77332,0.72984,0.73205,0.48766,0.72489,0.76179,0.40611,0.31706,1
0.51146,0.49761,0.8737,1,0.57878,0.63422,0.84995,0.78143,0.37898,0.43471,0.26368,0.091752,0.051522,0.014225,0.0096797,0.041811,0.028093,0.0094503,0,0.059628,1,0.98117,0.58454,0.39818,0.91117,0.78583,0.50818,0.53429,0.85098,0,0.37218,0.47569,0.16988,0.32696,0.69323,0.59298,0.19239,0.38256,0.3873,0.062105,1
0.81952,0.81409,0.86341,1,0.50531,0.54091,0.71475,0.6491,0.56852,0.42257,0.3432,0.16762,0.23941,0.20397,0.1944,0.31233,0.30977,0.1562,0.035527,0,0.92144,1,0.50119,0.35754,0.53197,0.83121,0.46365,0.35356,0.69366,0.27224,0.29143,0.25194,0.6907,0.20718,0.07807,0.048066,0,0.44884,0.55551,0.27461,1
0.31885,0.36256,0.80968,1,0.61291,0.4605,0.78673,0.76544,0.30179,0.47976,0.43261,0.34922,0.39781,0.32389,0.35603,0.33738,0.40961,0.20519,0.068541,0,0.32832,0.17934,0.22081,0.20884,0.14067,1,0.41253,0.20478,0.49849,0.42793,0.60392,0.43136,0.39064,0.24492,0.4239,0.29675,0.47766,0.23264,0.078298,0,1
0.71065,0.70159,0.81954,1,0.73126,0.53079,0.7727,0.74619,0.3221,0.32316,0.22255,0.166,0.2958,0.20596,0.14594,0.16326,0.12141,0.039584,0.015439,0,0.10792,0.25453,0,0.053302,0.37445,0.18706,0.65144,0.69673,1,0.959,0.81747,0.75689,0.58662,0.74981,0.77193,0.88216,0.86152,0.54026,0.35601,0.3142,1
0.42755,0.64252,0.77589,0.6639,0.49296,0.67301,0.61847,0.90399,1,0.6513,0.4873,0.31644,0.20549,0.17119,0.19373,0.42107,0.3786,0.15844,0.0073196,0,0.77738,1,0.97224,0.94484,0.20598,0.83631,0.72005,0.27544,0.39606,0.47952,0.71132,0.58847,0.65484,0.4919,0.57224,0.27074,0.39421,0,0.68593,0.92768,1
0.68796,0.84012,1,0.92844,0.46531,0.66481,0.70367,0.59032,0.64706,0.38491,0.36526,0.19992,0.12507,0.097476,0.087228,0.19186,0.1505,0.039651,0.007733,0,1,0.74573,0.40968,0.41082,0.50134,0,0.33978,0.67009,0.7745,0.79533,0.79712,0.55694,0.89876,0.6552,0.88294,0.76891,0.77906,0.36157,0.75092,0.80779,1
1,0.99261,0.85743,0.81609,0.50576,0.51929,0.51469,0.50476,0.58745,0.29894,0.2843,0.18378,0.14722,0.14409,0.072946,0.13228,0.06833,0,0.001285,0.012982,0.21905,0.34763,0.82866,1,0.60229,0.89082,0.53804,0.32332,0.55325,0.82561,0.59603,0.20705,0.11392,0.2469,0.60649,0.094832,0.64647,0.23418,0.24705,0,1
0.98678,0.73333,0.71644,1,0.72459,0.46554,0.42706,0.75971,0.69829,0.25188,0.2774,0.31999,0.37121,0.3272,0.1572,0.17262,0.074409,0,0.059732,0.22332,0.7941,0.6539,0.5644,0.25186,0.11172,0.55927,0.75858,0.63837,0.4928,0.73308,0.60688,1,0.37535,0.071146,0.20586,0.42467,0,0.19659,0.82781,0.75268,1
1,0.75492,0.62953,0.87014,0.67571,0.43108,0.40919,0.61741,0.63989,0.25834,0.24566,0.25487,0.28914,0.26087,0.17965,0.09543,0.054774,0,0.023857,0.23462,0.14697,0,0.19696,0.36845,0.22789,0.7948,0.63088,0.43387,0.99841,1,0.96085,0.64382,0.78272,0.83135,0.9291,0.52489,0.31351,0.60047,0.90126,0.83759,1
